"","Country.Name","Surviveto65Female2014","Survivorto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","RuralPop2014","Sanitation2014","CO22014","Greenhouse2012","Education2014","Water2014"
"135","St. Lucia",83.7949156,74.3696056,76.829,74.122,75.44,501.1735066,5.82972733,90495,87801,81.518,88.36977261,407.037,598.7659176,10,98.16255047
"136","St. Vincent and the Grenadines",80.2424374,69.3269566,74.609,69.774,72.01,244.194153,3.67303708,53396,55465,49.442,87.1843449,209.019,319.2180852,12,95.1452199
"137","Sudan",67.991171,60.8655266,65.919,62.453,64.169,115.544126,5.5277981,19020770,18956885,66.311,33.66851824,15364.73,491982.2665,8,57.52663312
"138","Suriname",79.9685214,66.9590962,74.461,67.983,71.133,538.1601913,5.62669725,274851,278422,33.911,83.5151774,1991.181,2657.877624,6,94.22839412
"139","Sweden",93.0182368,89.285207,84.2,80.4,82.25365854,6628.45896,11.14127066,4852495,4843615,13.753,99.30262683,43420.947,65767.78706,9,99.99999622
"140","Switzerland",93.6180762,89.4985392,85.4,81.1,83.19756098,10014.7093,11.4943653,4139234,4049415,26.304,99.89159035,35305.876,54108.09751,11,100
"141","Tajikistan",79.635504,69.7377542,72.273,67.68,69.874,74.30047894,6.72734828,4088266,4164567,73.345,95.67872975,5188.805,15364.57529,9,76.51419319
"142","Tanzania",64.728237,55.3917802,64.349,60.22,62.288,38.40435735,4.16021866,25027582,24932240,69.096,25.35052196,11562.051,235353.1169,7,51.12092141
"143","Thailand",86.1959082,72.7999152,79.49,72.102,75.747,219.3661586,3.68448062,34990204,33448526,53.057,97.53952279,316212.744,440411.679,9,99.11123216
"144","Timor-Leste",75.9977346,68.6787408,70.127,66.375,68.197,78.84968346,2.36415328,580674,593657,70.867,50.22367683,469.376,959.3474036,9,72.34708193
"145","Togo",59.3269468,54.8848952,60.334,58.806,59.58,40.19228962,6.35890293,3592387,3545610,60.421,14.88624516,2621.905,22931.85549,10,61.79667331
"146","Trinidad and Tobago",81.3925924,70.6502806,75.5,70.112,72.768,1060.561,5.28134383,688383,673959,46.587,93.39890595,46273.873,61308.52535,6,98.18496206
"147","Tunisia",87.3858946,80.357961,77.832,73.7,75.734,290.9744968,6.81160799,5575114,5488087,32.228,89.70425283,28829.954,39721.00885,9,95.45727811
"148","Turkey",88.4156952,79.6150844,79.209,73.075,76.172,527.2028417,4.34726586,39237322,37994585,26.923,96.64899267,345981.45,445640.0784,12,98.73386847
"149","Turkmenistan",75.52226,60.1630818,71.011,64.137,67.552,437.7528197,5.49777327,2775339,2690989,50.079,97.41482452,68422.553,92178.07491,12,97.52812231
"150","Uganda",60.627546,52.0845796,62.496,58.716,60.669,48.20641504,6.6980736,18790758,18121390,78.496,18.39250736,5229.142,80725.08492,7,44.82258425
"151","Ukraine",83.3147138,59.9836198,76.37,66.25,71.18658537,197.3648081,6.63534262,24340510,20931437,31.032,96.21379569,227298.995,404900.3049,11,93.5892114
"152","United Arab Emirates",87.921999,84.2167904,78.504,76.414,77.095,1613.37514,3.62966276,2648903,6565272,14.625,98.57366934,211369.547,204888.719,6,96.13178162
"153","United Kingdom",91.18325,86.7162674,83.2,79.5,81.30487805,4567.707884,9.72392342,32785655,31827505,17.635,99.11370162,419820.162,585779.7833,11,99.999997
"154","United States",87.7901442,80.2601018,81.3,76.5,78.84146341,9053.431717,16.50510561,160946480,157439941,18.517,99.96940672,5254279.285,6343840.508,12,99.25310176
"155","Uruguay",87.1642196,77.5526502,80.87,73.405,77.244,1467.942503,8.77018402,1760780,1639654,5.055,96.00701855,6747.28,34237.82952,14,99.0312164
"156","Uzbekistan",80.1946366,69.9193714,72.973,68.382,70.671,117.3688353,5.6760221,15441602,15316098,49.15,100,105213.564,177223.751,12,97.37537203
"157","Vanuatu",79.7888706,72.0321748,71.373,68.222,69.719,108.804164,3.45589292,129980,133908,75.139,40.1924286,154.014,446.2205969,NA,89.28985815
"158","Venezuela RB",83.2370118,69.8956636,76.709,69.05,72.762,906.46436,5.77645067,15090643,14954491,11.856,93.93501902,185220.17,281921.3686,14,95.88767798
"159","Vietnam",86.4702258,71.659766,79.159,70.931,75.056,116.3602029,5.78317711,46015083,45699512,66.885,78.29218375,166910.839,310664.0693,9,92.27634392
"160","Yemen Rep.",70.8566544,63.7418398,67.77,64.404,66.066,79.74615338,4.84180493,12806508,13016977,65.835,57.41275511,22698.73,40924.62769,9,61.39094042
"161","Zambia",60.916447,49.9995944,63.248,58.333,60.831,66.55567003,3.82924219,7782711,7617042,58.618,25.86263154,4503.076,320254.2183,7,58.1280011
"162","Zimbabwe",51.755831,44.4647054,59.892,56.632,58.41,89.07984198,8.67039013,7126780,6459901,67.496,38.25146054,12020.426,72057.80332,7,65.47338134
